time	group	mos_p
10	orco_16_het	10
20	orco_16_het	15
30	orco_16_het	15
40	orco_16_het	40
50	orco_16_het	30
60	orco_16_het	20
70	orco_16_het	35
80	orco_16_het	30
90	orco_16_het	25
100	orco_16_het	5
110	orco_16_het	20
120	orco_16_het	15
130	orco_16_het	20
140	orco_16_het	15
150	orco_16_het	10
160	orco_16_het	15
170	orco_16_het	5
180	orco_16_het	10
190	orco_16_het	10
200	orco_16_het	5
210	orco_16_het	15
220	orco_16_het	5
230	orco_16_het	10
240	orco_16_het	10
250	orco_16_het	10
260	orco_16_het	10
270	orco_16_het	5
280	orco_16_het	10
290	orco_16_het	5
300	orco_16_het	10
0	orco_516_ko	5
10	orco_516_ko	10
20	orco_516_ko	15
30	orco_516_ko	20
40	orco_516_ko	20
50	orco_516_ko	35
60	orco_516_ko	30
70	orco_516_ko	30
80	orco_516_ko	30
90	orco_516_ko	25
100	orco_516_ko	20
110	orco_516_ko	40
120	orco_516_ko	35
130	orco_516_ko	40
140	orco_516_ko	25
150	orco_516_ko	25
160	orco_516_ko	30
170	orco_516_ko	30
180	orco_516_ko	30
190	orco_516_ko	25
200	orco_516_ko	15
210	orco_516_ko	35
220	orco_516_ko	35
230	orco_516_ko	35
240	orco_516_ko	30
250	orco_516_ko	25
260	orco_516_ko	25
270	orco_516_ko	25
280	orco_516_ko	15
290	orco_516_ko	15
300	orco_516_ko	15
0	orco_16_het	5
10	orco_16_het	10
20	orco_16_het	5
30	orco_16_het	0
40	orco_16_het	0
50	orco_16_het	0
60	orco_16_het	0
70	orco_16_het	5
80	orco_16_het	10
90	orco_16_het	10
100	orco_16_het	5
110	orco_16_het	5
120	orco_16_het	10
130	orco_16_het	0
140	orco_16_het	0
150	orco_16_het	0
160	orco_16_het	0
170	orco_16_het	5
180	orco_16_het	5
190	orco_16_het	0
200	orco_16_het	0
210	orco_16_het	0
220	orco_16_het	0
230	orco_16_het	0
240	orco_16_het	5
250	orco_16_het	0
260	orco_16_het	0
270	orco_16_het	0
280	orco_16_het	0
290	orco_16_het	0
300	orco_16_het	10
0	orl_wt	0
10	orl_wt	0
20	orl_wt	0
30	orl_wt	0
40	orl_wt	0
50	orl_wt	0
60	orl_wt	5
70	orl_wt	5
80	orl_wt	0
90	orl_wt	0
100	orl_wt	0
110	orl_wt	0
120	orl_wt	0
130	orl_wt	5
140	orl_wt	5
150	orl_wt	0
160	orl_wt	5
170	orl_wt	0
180	orl_wt	0
190	orl_wt	0
200	orl_wt	0
210	orl_wt	0
220	orl_wt	0
230	orl_wt	0
240	orl_wt	10
250	orl_wt	5
260	orl_wt	5
270	orl_wt	5
280	orl_wt	5
290	orl_wt	0
300	orl_wt	0
0	orco_5_het	0
10	orco_5_het	0
20	orco_5_het	10
30	orco_5_het	10
40	orco_5_het	10
50	orco_5_het	5
60	orco_5_het	15
70	orco_5_het	15
80	orco_5_het	20
90	orco_5_het	15
100	orco_5_het	10
110	orco_5_het	15
120	orco_5_het	5
130	orco_5_het	10
140	orco_5_het	10
150	orco_5_het	5
160	orco_5_het	15
170	orco_5_het	10
180	orco_5_het	10
190	orco_5_het	10
200	orco_5_het	10
210	orco_5_het	10
220	orco_5_het	10
230	orco_5_het	10
240	orco_5_het	10
250	orco_5_het	5
260	orco_5_het	5
270	orco_5_het	5
280	orco_5_het	5
290	orco_5_het	5
300	orco_5_het	5
0	orco_16_het	10
10	orco_16_het	10
20	orco_16_het	15
30	orco_16_het	15
40	orco_16_het	10
50	orco_16_het	15
60	orco_16_het	15
70	orco_16_het	15
80	orco_16_het	20
90	orco_16_het	15
100	orco_16_het	15
110	orco_16_het	10
120	orco_16_het	10
130	orco_16_het	15
140	orco_16_het	15
150	orco_16_het	15
160	orco_16_het	20
170	orco_16_het	10
180	orco_16_het	10
190	orco_16_het	15
200	orco_16_het	10
210	orco_16_het	10
220	orco_16_het	5
230	orco_16_het	10
240	orco_16_het	5
250	orco_16_het	10
260	orco_16_het	10
270	orco_16_het	5
280	orco_16_het	5
290	orco_16_het	5
300	orco_16_het	0
0	orl_wt	5
10	orl_wt	5
20	orl_wt	10
30	orl_wt	10
40	orl_wt	5
50	orl_wt	15
60	orl_wt	15
70	orl_wt	15
80	orl_wt	15
90	orl_wt	10
100	orl_wt	10
110	orl_wt	10
120	orl_wt	10
130	orl_wt	10
140	orl_wt	10
150	orl_wt	10
160	orl_wt	15
170	orl_wt	15
180	orl_wt	10
190	orl_wt	10
200	orl_wt	10
210	orl_wt	10
220	orl_wt	10
230	orl_wt	5
240	orl_wt	5
250	orl_wt	5
260	orl_wt	5
270	orl_wt	5
280	orl_wt	5
290	orl_wt	5
300	orl_wt	5
0	orco_516_ko	5
10	orco_516_ko	10
20	orco_516_ko	20
30	orco_516_ko	35
40	orco_516_ko	35
50	orco_516_ko	35
60	orco_516_ko	45
70	orco_516_ko	45
80	orco_516_ko	25
90	orco_516_ko	30
100	orco_516_ko	20
110	orco_516_ko	20
120	orco_516_ko	25
130	orco_516_ko	40
140	orco_516_ko	25
150	orco_516_ko	25
160	orco_516_ko	35
170	orco_516_ko	35
180	orco_516_ko	40
190	orco_516_ko	30
200	orco_516_ko	35
210	orco_516_ko	35
220	orco_516_ko	25
230	orco_516_ko	30
240	orco_516_ko	15
250	orco_516_ko	30
260	orco_516_ko	25
270	orco_516_ko	10
280	orco_516_ko	25
290	orco_516_ko	20
300	orco_516_ko	25
0	orco_5_het	15
10	orco_5_het	0
20	orco_5_het	0
30	orco_5_het	5
40	orco_5_het	5
50	orco_5_het	5
60	orco_5_het	5
70	orco_5_het	5
80	orco_5_het	5
90	orco_5_het	10
100	orco_5_het	5
110	orco_5_het	10
120	orco_5_het	5
130	orco_5_het	10
140	orco_5_het	10
150	orco_5_het	10
160	orco_5_het	5
170	orco_5_het	5
180	orco_5_het	5
190	orco_5_het	5
200	orco_5_het	5
210	orco_5_het	5
220	orco_5_het	5
230	orco_5_het	5
240	orco_5_het	5
250	orco_5_het	5
260	orco_5_het	0
270	orco_5_het	0
280	orco_5_het	0
290	orco_5_het	0
300	orco_5_het	0
0	orco_5_het	0
10	orco_5_het	0
20	orco_5_het	0
30	orco_5_het	10
40	orco_5_het	10
50	orco_5_het	10
60	orco_5_het	10
70	orco_5_het	10
80	orco_5_het	5
90	orco_5_het	10
100	orco_5_het	10
110	orco_5_het	5
120	orco_5_het	0
130	orco_5_het	5
140	orco_5_het	5
150	orco_5_het	5
160	orco_5_het	5
170	orco_5_het	5
180	orco_5_het	5
190	orco_5_het	10
200	orco_5_het	10
210	orco_5_het	5
220	orco_5_het	5
230	orco_5_het	5
240	orco_5_het	5
250	orco_5_het	5
260	orco_5_het	5
270	orco_5_het	5
280	orco_5_het	5
290	orco_5_het	5
300	orco_5_het	5
0	orl_wt	0
10	orl_wt	5
20	orl_wt	0
30	orl_wt	0
40	orl_wt	0
50	orl_wt	5
60	orl_wt	5
70	orl_wt	5
80	orl_wt	5
90	orl_wt	5
100	orl_wt	5
110	orl_wt	0
120	orl_wt	0
130	orl_wt	5
140	orl_wt	5
150	orl_wt	5
160	orl_wt	5
170	orl_wt	5
180	orl_wt	5
190	orl_wt	5
200	orl_wt	5
210	orl_wt	5
220	orl_wt	5
230	orl_wt	5
240	orl_wt	5
250	orl_wt	5
260	orl_wt	5
270	orl_wt	5
280	orl_wt	5
290	orl_wt	5
300	orl_wt	5
0	orco_16_het	0
10	orco_16_het	5
20	orco_16_het	0
30	orco_16_het	5
40	orco_16_het	0
50	orco_16_het	5
60	orco_16_het	5
70	orco_16_het	5
80	orco_16_het	5
90	orco_16_het	5
100	orco_16_het	10
110	orco_16_het	5
120	orco_16_het	5
130	orco_16_het	5
140	orco_16_het	5
150	orco_16_het	5
160	orco_16_het	5
170	orco_16_het	5
180	orco_16_het	5
190	orco_16_het	5
200	orco_16_het	5
210	orco_16_het	5
220	orco_16_het	0
230	orco_16_het	0
240	orco_16_het	5
250	orco_16_het	5
260	orco_16_het	5
270	orco_16_het	0
280	orco_16_het	5
290	orco_16_het	5
300	orco_16_het	0
0	orco_516_ko	0
10	orco_516_ko	0
20	orco_516_ko	5
30	orco_516_ko	10
40	orco_516_ko	15
50	orco_516_ko	25
60	orco_516_ko	25
70	orco_516_ko	25
80	orco_516_ko	35
90	orco_516_ko	35
100	orco_516_ko	15
110	orco_516_ko	15
120	orco_516_ko	20
130	orco_516_ko	15
140	orco_516_ko	20
150	orco_516_ko	15
160	orco_516_ko	30
170	orco_516_ko	30
180	orco_516_ko	15
190	orco_516_ko	20
200	orco_516_ko	30
210	orco_516_ko	20
220	orco_516_ko	35
230	orco_516_ko	25
240	orco_516_ko	35
250	orco_516_ko	20
260	orco_516_ko	30
270	orco_516_ko	30
280	orco_516_ko	25
290	orco_516_ko	15
300	orco_516_ko	15
0	orco_5_het	0
10	orco_5_het	5
20	orco_5_het	5
30	orco_5_het	0
40	orco_5_het	0
50	orco_5_het	5
60	orco_5_het	5
70	orco_5_het	5
80	orco_5_het	5
90	orco_5_het	10
100	orco_5_het	15
110	orco_5_het	5
120	orco_5_het	0
130	orco_5_het	0
140	orco_5_het	0
150	orco_5_het	0
160	orco_5_het	5
170	orco_5_het	0
180	orco_5_het	0
190	orco_5_het	0
200	orco_5_het	5
210	orco_5_het	10
220	orco_5_het	5
230	orco_5_het	5
240	orco_5_het	5
250	orco_5_het	10
260	orco_5_het	0
270	orco_5_het	0
280	orco_5_het	0
290	orco_5_het	0
300	orco_5_het	0
0	orco_516_ko	0
10	orco_516_ko	0
20	orco_516_ko	0
30	orco_516_ko	5
40	orco_516_ko	20
50	orco_516_ko	15
60	orco_516_ko	30
70	orco_516_ko	30
80	orco_516_ko	20
90	orco_516_ko	25
100	orco_516_ko	20
110	orco_516_ko	25
120	orco_516_ko	20
130	orco_516_ko	10
140	orco_516_ko	15
150	orco_516_ko	20
160	orco_516_ko	15
170	orco_516_ko	10
180	orco_516_ko	5
190	orco_516_ko	15
200	orco_516_ko	15
210	orco_516_ko	20
220	orco_516_ko	20
230	orco_516_ko	20
240	orco_516_ko	20
250	orco_516_ko	20
260	orco_516_ko	10
270	orco_516_ko	10
280	orco_516_ko	10
290	orco_516_ko	10
300	orco_516_ko	10
0	orl_wt	0
10	orl_wt	0
20	orl_wt	0
30	orl_wt	0
40	orl_wt	0
50	orl_wt	0
60	orl_wt	5
70	orl_wt	5
80	orl_wt	5
90	orl_wt	10
100	orl_wt	5
110	orl_wt	5
120	orl_wt	5
130	orl_wt	10
140	orl_wt	5
150	orl_wt	5
160	orl_wt	5
170	orl_wt	5
180	orl_wt	5
190	orl_wt	5
200	orl_wt	5
210	orl_wt	5
220	orl_wt	5
230	orl_wt	5
240	orl_wt	5
250	orl_wt	5
260	orl_wt	5
270	orl_wt	0
280	orl_wt	0
290	orl_wt	5
300	orl_wt	5
0	orco_16_het	5
10	orco_16_het	10
20	orco_16_het	10
30	orco_16_het	10
40	orco_16_het	5
50	orco_16_het	10
60	orco_16_het	10
70	orco_16_het	15
80	orco_16_het	5
90	orco_16_het	15
100	orco_16_het	10
110	orco_16_het	10
120	orco_16_het	10
130	orco_16_het	15
140	orco_16_het	15
150	orco_16_het	15
160	orco_16_het	15
170	orco_16_het	10
180	orco_16_het	10
190	orco_16_het	10
200	orco_16_het	15
210	orco_16_het	5
220	orco_16_het	10
230	orco_16_het	10
240	orco_16_het	10
250	orco_16_het	10
260	orco_16_het	10
270	orco_16_het	5
280	orco_16_het	5
290	orco_16_het	5
300	orco_16_het	5
